id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,iso_region,municipality,scheduled_service,gps_code,iata_code,score
317982,VEDG,medium_airport,Kazi Nazrul Islam Airport,23.6225,87.243,300,IN-WB,Durgapur,1,VEDG,RDP,-4
317983,IN-0099,small_airport,Durgapur Steel Plant Airport,23.58331,87.339787,290,IN-WB,Durgapur,0,,,-4
46512,IN-0025,small_airport,Faizabad Airport,26.7511282,82.1543651,350,IN-UP,Faizabad,1,,,-4
46566,IN-0043,heliport,STC BSF Indian Army Helipad,24.3267,93.67546667,,IN-MN,Gangpimual,0,,,-4
46567,IN-0044,heliport,PAP Complex Heliport,31.29208333,75.6072,766,IN-PB,Jalandhar,0,,,-4
46608,IN-0056,closed,Kalyan airstrip,19.17921973,73.13918352,,IN-MM,Kalyan,0,,,-4
46607,IN-0055,closed,Kanchrapara Airfield,22.92293299,88.45992923,,IN-WB,Kanchrapara,0,,,-4
46568,IN-0045,heliport,Catholic Medical Centre Helipad,24.8062,93.94275,,IN-MN,Kangla,0,,,-4
329504,VOKN,medium_airport,Kannur International Airport,11.918614,75.547211,330,IN-KL,Kannur,1,VOKN,CNN,-4
46624,IN-0061,small_airport,Khandwa Airport,21.85711746,76.33695602,,IN-MP,Khandwa,0,,,-4
46572,IN-0049,heliport,Kohima Helipad,25.66306667,94.11393333,,IN-NL,Kohima,0,,,-4
46562,IN-0039,heliport,Lebong Helipad,27.05908333,88.27773333,,IN-WB,Lebong,0,,,-4
317981,IN-0098,heliport,Maithon Heliport,23.785,86.7935,529,IN-JH,Maithon,0,,,-4
46575,IN-0052,heliport,Mathura Heliport,27.46423333,77.68241667,,IN-UP,Mathura,0,,,-4
46377,IN-0022,heliport,Kunjali Helipad,18.89527337,72.80849397,,IN-MM,Mimbai,0,,,-4
42724,IN-0007,heliport,Minicoy Helipad,8.273630142,73.02230072,,IN-LD,Minicoy Island,0,,,-4
46376,IN-0021,heliport,Shikra Naval Helibase,18.91334568,72.82921135,,IN-MM,Mumbai,0,,,-4
46569,IN-0046,heliport,Butcher Island Helipad,18.9623,72.90308333,,IN-MM,Mumbai,0,,,-4
